City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Ust-Maya,RU,2022-02-07 00:14:36,60.4167,134.5333,-34.87,99,95,1.43
229,Cravo Norte,CO,2022-02-07 00:14:36,6.3017,-70.2041,89.4,36,90,5.91
230,Limbang,MY,2022-02-07 00:14:36,4.75,115.0,77.11,93,100,1.28
231,Acapulco,MX,2022-02-07 00:12:39,16.8634,-99.8901,84.02,61,0,10.36
232,Pisco,PE,2022-02-07 00:12:37,-13.7,-76.2167,68.02,94,0,6.91
233,Mar Del Plata,AR,2022-02-07 00:11:19,-38.0023,-57.5575,66.09,82,75,4.0
234,Coutances,FR,2022-02-07 00:14:37,49.05,-1.4333,49.86,82,69,14.88
235,Ambilobe,MG,2022-02-07 00:14:37,-13.2,49.05,73.6,95,95,1.61
236,Vardo,NO,2022-02-07 00:14:38,70.3705,31.1107,23.25,81,78,19.48
237,Te Anau,NZ,2022-02-07 00:14:38,-45.4167,167.7167,61.68,51,48,2.37
238,Kurchum,KZ,2022-02-07 00:14:38,48.5722,83.6542,3.76,74,0,1.25
239,El Alto,PE,2022-02-07 00:14:39,-4.2714,-81.2147,70.66,77,34,13.04
240,Cabedelo,BR,2022-02-07 00:13:39,-6.9811,-34.8339,79.72,71,5,13.47
241,Yermakovskoye,RU,2022-02-07 00:14:29,53.2831,92.4003,-4.38,95,99,1.81
242,Lensk,RU,2022-02-07 00:14:39,60.7253,114.9278,5.67,96,100,4.74
243,Kangaatsiaq,GL,2022-02-07 00:14:40,68.3065,-53.4641,8.35,86,100,18.03
244,Ormara,PK,2022-02-07 00:14:40,25.2088,64.6357,70.29,84,7,8.19
245,Torbay,CA,2022-02-07 00:14:40,47.6666,-52.7314,13.26,75,20,17.27
246,Cockburn Town,TC,2022-02-07 00:10:08,21.4612,-71.1419,75.16,57,20,9.22
247,Neya,RU,2022-02-07 00:14:41,58.2972,43.8681,-3.84,100,99,3.13
248,Kumluca,TR,2022-02-07 00:14:41,36.3703,30.2869,44.67,57,0,6.42
249,Solnechnyy,RU,2022-02-07 00:14:41,50.7214,136.6319,0.1,95,99,2.42
250,Leningradskiy,RU,2022-02-07 00:11:43,69.3833,178.4167,-24.29,99,30,3.13
251,Kargasok,RU,2022-02-07 00:14:42,59.0556,80.8572,-7.11,100,92,4.41
252,Guerrero Negro,MX,2022-02-07 00:14:42,27.9769,-114.0611,66.2,28,0,11.32
